n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
4.0,4.0,0.3,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.31,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.32,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.33,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.34,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.35,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.36,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.37,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.38,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.39,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.4,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.41,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.42,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.43,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.44,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.45,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.46,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
